NO_OF_FRAMES	991
NO_OF_CAMERAS	0
NO_OF_MARKERS	28
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	1970-01-01, 01:00:00	0.00000000
DATA_INCLUDED	3D
MARKER_NAMES	knee_right_in	knee_left_in	knee_left_out	thigh_right_out	thigh_right_in	thigh_left_in	thigh_left_out	neck_right	neck_left	head	shoulder_right_back	shoulder_right_front	shoulder_left_front	shoulder_left_back	elbow_right_front	elbow_right_back	elbow_left_front	elbow_left_back	wrist_right_front	wrist_right_back	wrist_left_back	wrist_left_front	hip_right	hip_left	torso_right	ball_1	ball_2	ball_3
840.778	497.245	-145.500	664.864	464.678	-158.259	567.645	459.802	-122.936	957.972	357.532	64.422	805.464	481.201	100.555	684.784	519.984	147.818	529.844	461.447	184.933	767.816	476.392	858.823	651.666	470.017	868.807	709.097	575.976	1054.598	915.008	349.455	775.449	891.067	491.161	796.240	551.326	513.060	780.153	503.543	374.649	769.569	1010.920	517.115	522.411	929.991	481.517	483.955	449.821	627.598	585.709	516.482	625.503	512.079	908.047	742.320	478.227	803.250	778.179	414.929	624.677	810.526	661.189	568.305	814.066	712.107	910.114	423.955	344.872	537.639	445.615	342.169	917.983	451.647	441.449	682.983	950.661	799.679	0.000	0.000	0.000	581.909	876.481	966.273
840.674	497.201	-145.538	664.821	464.625	-158.264	567.569	459.746	-122.946	957.840	357.753	64.448	805.389	481.067	100.586	684.746	519.978	147.757	529.849	461.322	185.392	767.774	476.379	858.797	651.681	469.939	868.916	709.186	576.002	1054.572	914.816	349.656	775.369	890.854	491.514	796.208	551.118	512.882	780.506	503.541	374.655	769.643	1010.553	517.643	522.038	929.822	481.524	483.373	449.291	627.175	586.591	516.297	625.600	513.558	907.111	742.128	475.963	800.701	780.325	412.394	623.720	810.707	662.808	567.131	813.707	713.128	910.110	424.239	344.679	537.670	445.424	342.156	918.003	451.722	441.455	678.902	949.900	803.455	0.000	0.000	0.000	581.515	876.693	964.789
840.503	497.227	-145.542	664.731	464.547	-158.294	567.461	459.613	-122.838	957.846	357.710	64.406	805.364	480.605	100.353	684.681	519.872	147.745	529.891	460.949	185.184	767.839	476.377	858.773	651.670	469.809	868.883	709.261	576.027	1054.581	914.672	350.058	775.141	890.686	492.119	795.939	551.090	512.799	781.041	503.540	374.660	769.716	1010.293	518.176	521.562	929.552	481.898	483.189	448.935	626.885	587.194	515.863	625.586	513.703	906.231	742.334	473.745	798.130	782.505	409.882	621.997	810.124	663.445	565.914	813.378	714.360	910.112	424.531	344.491	537.742	445.128	342.078	918.023	451.797	441.460	682.825	949.972	806.246	0.000	0.000	0.000	580.773	876.560	962.496
840.393	497.230	-145.514	664.710	464.521	-158.296	567.331	459.518	-122.677	957.758	357.748	64.341	805.345	480.476	100.332	684.617	519.899	147.763	529.893	460.813	185.177	767.854	476.320	858.459	651.665	469.724	868.898	709.355	576.045	1054.565	914.507	350.596	774.880	890.527	492.663	795.652	550.963	512.564	781.251	503.540	374.664	769.788	1009.846	518.903	520.764	940.285	461.106	481.983	448.759	626.669	588.205	515.630	625.552	514.318	905.473	742.454	470.943	795.538	784.718	407.396	621.164	810.235	665.097	564.648	812.918	715.869	910.121	424.830	344.305	537.777	444.935	342.055	918.042	451.872	441.465	682.754	949.691	809.773	0.000	0.000	0.000	580.630	877.100	961.244
840.252	497.262	-145.507	664.647	464.474	-158.340	567.265	459.468	-122.698	957.714	357.813	64.356	805.322	480.303	100.284	684.592	519.928	147.760	529.925	460.669	185.154	767.881	476.314	858.421	651.694	469.619	868.914	709.451	576.046	1054.635	914.322	350.984	774.698	890.354	493.034	795.452	550.859	512.294	781.462	503.540	374.668	769.860	1009.614	519.639	520.369	939.841	461.674	481.642	448.276	626.252	588.627	515.208	625.386	514.912	904.537	742.336	468.580	792.926	786.961	404.936	619.761	809.699	665.979	563.347	812.636	716.631	910.136	425.136	344.123	537.781	444.743	342.034	918.061	451.949	441.471	682.608	949.335	813.215	0.000	0.000	0.000	579.736	876.746	959.818
840.117	497.217	-145.568	664.570	464.444	-158.377	567.195	459.421	-122.701	957.722	357.763	64.292	805.277	480.174	100.267	684.496	519.781	147.693	529.914	460.523	185.148	767.889	476.288	858.401	651.680	469.497	868.922	709.546	576.045	1054.580	914.148	351.310	774.480	890.162	493.431	795.389	550.779	511.931	781.814	503.541	374.671	769.932	1009.198	520.185	519.674	939.405	462.115	480.944	447.538	625.510	588.836	514.688	625.185	515.485	903.356	741.995	466.830	790.295	789.234	402.502	618.854	809.920	667.661	562.169	812.358	717.497	910.158	425.450	343.945	537.848	444.555	341.983	918.079	452.025	441.476	682.651	949.075	816.702	849.094	703.520	430.226	579.339	876.762	956.980
840.006	497.227	-145.586	664.475	464.424	-158.376	567.084	459.408	-122.693	957.718	357.660	64.193	805.265	479.985	100.246	684.467	519.810	147.675	529.945	460.356	185.131	767.898	476.293	858.320	651.672	469.411	868.897	709.617	576.047	1054.642	914.022	351.530	774.212	889.982	493.932	795.323	550.738	511.684	782.303	503.542	374.674	770.003	1008.933	521.047	519.281	938.906	462.605	480.474	447.128	625.189	589.269	514.512	625.390	516.096	902.673	742.610	464.464	787.646	791.536	400.096	618.015	810.136	669.231	560.656	811.971	718.501	910.186	425.770	343.771	537.907	444.352	341.661	918.098	452.103	441.482	682.535	948.706	819.821	848.891	702.724	428.046	578.894	876.840	956.094
839.930	497.197	-145.608	664.351	464.367	-158.410	567.004	459.345	-122.698	957.725	357.611	64.164	805.251	479.790	100.179	684.414	519.887	147.702	529.940	460.175	185.119	767.906	476.262	858.308	651.666	469.298	868.896	709.763	576.069	1054.449	913.823	351.803	774.066	889.763	494.376	795.206	550.846	511.476	782.778	503.543	374.676	770.074	1008.524	521.575	518.565	938.549	463.097	480.212	446.760	624.752	589.484	514.009	625.271	516.518	901.844	742.605	461.919	784.980	793.866	397.717	616.744	809.740	669.832	559.294	811.631	719.238	910.220	426.097	343.601	537.899	444.095	341.747	918.115	452.180	441.487	682.317	948.207	823.235	848.576	702.152	426.062	578.397	876.984	953.316
839.845	497.187	-145.601	664.283	464.315	-158.439	566.933	459.316	-122.723	957.705	357.707	64.171	805.234	479.628	100.165	684.347	519.813	147.627	529.926	459.997	185.096	767.928	476.247	858.306	651.729	469.135	868.880	709.817	576.061	1054.460	913.659	352.038	773.892	889.576	494.880	794.910	550.816	511.167	782.897	503.545	374.678	770.144	1008.205	522.457	518.150	938.045	463.812	479.867	446.189	624.235	589.947	513.610	625.070	517.079	900.575	742.501	460.238	782.299	796.221	395.366	614.912	808.434	670.600	557.953	811.246	720.513	910.259	426.430	343.435	537.901	443.851	341.718	918.133	452.259	441.492	682.119	947.807	826.307	847.781	701.716	424.129	578.134	877.251	952.235
839.771	497.153	-145.625	664.189	464.263	-158.432	566.808	459.239	-122.694	957.678	357.850	64.187	805.203	479.448	100.121	684.268	519.754	147.598	529.956	459.827	185.075	767.939	476.253	858.240	651.802	468.969	868.851	709.904	576.082	1054.497	913.507	352.390	773.457	889.389	495.428	794.592	550.757	510.743	782.910	503.547	374.679	770.214	1007.939	523.080	517.633	937.730	464.365	479.424	445.777	623.892	590.213	513.187	624.746	517.473	899.492	742.426	458.667	779.603	798.601	393.044	613.485	808.003	671.685	556.603	810.950	720.862	910.304	426.768	343.273	537.984	443.676	341.834	918.150	452.338	441.497	682.069	947.393	829.974	846.785	701.494	422.295	577.451	877.332	949.735
