140.890	393.557	1041.047	66.556	359.084	1048.605	190.095	321.446	865.401	88.914	250.863	858.724	96.355	351.639	670.023	319.180	400.338	149.751	-52.733	194.240	141.732	-74.527	227.877	358.283	223.093	386.910	331.906	324.252	383.279	799.105	264.936	405.344	776.220	354.109	518.738	540.118	285.928	574.766	499.212	239.912	683.537	337.098	191.702	671.526	364.626	-29.199	184.502	813.550	-8.972	249.195	773.992	-165.261	234.459	578.678	-164.914	322.446	540.973	-219.035	453.551	411.067	-178.585	470.635	438.916
141.585	393.802	1041.103	67.395	359.429	1048.895	190.346	321.902	865.368	89.555	251.422	858.481	96.675	351.947	669.654	319.591	400.675	149.766	-52.094	194.165	141.636	-73.385	228.040	358.263	223.461	387.218	331.959	324.506	383.774	798.756	265.179	407.565	779.375	354.489	519.144	540.058	286.128	574.943	499.141	239.666	683.682	337.057	191.526	671.594	364.649	-28.721	184.884	813.504	-8.482	249.552	773.922	-164.606	234.521	578.488	-164.196	322.483	540.865	-218.035	453.822	411.199	-177.352	470.864	439.165
141.968	393.945	1041.478	67.882	359.531	1049.005	190.566	322.357	865.126	90.006	251.998	858.607	97.023	352.246	669.571	319.941	400.969	149.608	-51.560	194.126	141.755	-72.196	228.186	358.139	223.838	387.539	331.988	324.787	384.281	798.349	265.471	407.980	779.046	354.906	519.570	539.838	286.378	575.174	499.010	239.443	683.849	337.045	191.388	671.635	364.667	-28.254	185.318	813.360	-7.969	249.963	773.660	-163.868	234.684	578.175	-163.326	322.620	540.683	-217.003	454.171	411.387	-176.183	471.086	439.300
142.816	394.273	1041.152	68.521	359.773	1049.300	190.819	322.812	865.115	90.581	252.559	858.406	97.353	352.523	669.471	320.355	401.350	149.563	-51.063	194.009	141.799	-70.967	228.359	358.198	224.222	387.877	331.869	325.008	384.782	798.076	265.675	408.366	778.731	355.309	519.963	539.644	286.629	575.396	498.913	239.195	683.968	337.015	191.220	671.655	364.659	-27.814	185.676	813.282	-7.461	250.377	773.599	-163.244	234.760	577.918	-162.409	322.707	540.324	-216.000	454.465	411.424	-175.096	471.267	439.314
143.250	394.477	1041.628	69.154	359.979	1049.448	191.148	323.290	865.043	91.059	253.093	858.402	97.706	352.788	669.374	320.770	401.645	149.713	-50.551	193.818	142.000	-69.809	228.471	358.044	224.597	388.211	331.909	325.210	385.277	797.837	265.769	406.791	775.144	355.692	520.328	539.539	286.906	575.678	498.687	238.900	684.226	336.877	191.073	671.702	364.663	-27.411	186.112	813.075	-6.890	250.819	773.553	-162.559	234.777	577.521	-161.700	322.703	540.102	-214.990	454.716	411.470	-174.020	471.427	439.440
143.745	394.638	1042.011	69.896	360.235	1049.819	191.387	323.768	864.920	91.619	253.631	858.446	98.089	353.094	669.133	321.073	402.067	149.567	-49.919	193.769	142.018	-68.558	228.612	357.858	225.011	388.551	331.942	325.437	385.737	797.642	265.902	407.141	774.891	356.243	520.776	539.082	287.143	575.939	498.494	238.660	684.405	336.820	190.848	671.708	364.478	-26.900	186.531	813.011	-6.496	251.169	773.487	-161.850	234.846	577.220	-160.944	322.684	539.924	-213.928	455.038	411.495	-172.982	471.533	439.565
144.585	394.954	1042.151	70.617	360.485	1050.207	191.681	324.251	864.996	92.052	254.148	858.421	98.446	353.480	668.845	321.492	402.481	149.579	-49.359	193.664	141.958	-67.386	228.721	357.766	225.431	388.855	331.845	325.735	386.302	797.385	266.137	407.543	774.362	356.623	521.217	539.032	287.370	576.174	498.327	238.427	684.591	336.765	190.700	671.713	364.460	-26.466	186.900	812.965	-5.972	251.447	773.619	-161.219	234.898	577.046	-160.307	322.599	539.784	-212.905	455.320	411.664	-171.981	471.617	439.696
145.106	395.098	1042.524	71.173	360.587	1050.429	191.892	324.758	864.867	92.547	254.709	858.252	98.836	353.860	668.798	321.832	402.774	149.656	-48.897	193.557	141.886	-66.242	228.833	357.601	225.822	389.160	331.847	325.960	386.806	797.011	266.370	407.968	774.145	356.949	521.655	538.860	287.633	576.447	498.155	238.049	684.821	336.503	190.520	671.703	364.434	-26.002	187.241	812.878	-5.579	251.794	773.338	-160.521	234.985	576.723	-159.430	322.609	539.500	-211.908	455.536	411.634	-170.992	471.746	439.713
145.596	395.218	1042.790	71.655	360.600	1050.716	192.195	325.223	864.810	93.021	255.146	858.356	99.254	354.202	668.749	322.141	403.132	149.568	-48.353	193.475	141.923	-64.998	228.998	357.440	226.236	389.524	331.864	326.176	387.289	796.732	266.580	408.377	773.931	357.222	522.092	538.695	287.815	576.672	497.967	237.709	685.001	336.338	190.373	671.691	364.406	-25.601	187.574	812.815	-5.168	252.140	773.189	-159.894	235.016	576.513	-158.690	322.557	539.222	-210.768	455.785	411.720	-169.795	471.796	439.842
146.266	395.381	1042.754	72.112	360.667	1050.986	192.501	325.709	864.703	93.498	255.678	858.316	99.608	354.539	668.647	322.363	403.524	149.374	-47.736	193.383	142.119	-63.778	229.186	357.194	226.586	389.809	331.872	326.380	387.821	796.442	266.792	408.757	773.670	357.646	522.556	538.515	288.068	576.982	497.846	237.513	685.163	336.251	190.245	671.681	364.371	-25.181	187.963	812.753	-4.845	252.585	772.808	-159.279	235.065	576.303	-157.842	322.603	538.977	-209.673	455.996	411.556	-168.751	471.831	439.750
